iter	RMSE
0	6.762014501
1	6.522912205
2	6.283511271
3	6.061059413
4	5.846164657
5	5.631935178
6	5.432312897
7	5.236202343
8	5.049219231
9	4.876348995
10	4.710346081
11	4.552556882
12	4.394212479
13	4.248886515
14	4.10040234
15	3.966043961
16	3.83759542
17	3.713468733
18	3.58598764
19	3.469298786
20	3.359997912
21	3.2480047
22	3.139006419
23	3.039463775
24	2.942178954
25	2.845513715
26	2.752720783
27	2.671742802
28	2.592685675
29	2.51504682
30	2.439306973
31	2.365162341
32	2.297546162
33	2.224942591
34	2.159810505
35	2.097985769
36	2.041972925
37	1.98519335
38	1.933136031
39	1.884058535
40	1.831156345
41	1.785133802
42	1.73975217
43	1.69516819
44	1.655070395
45	1.616302208
46	1.579005258
47	1.542528395
48	1.50946726
49	1.478842114
50	1.44977353
51	1.42302041
52	1.394416993
53	1.368522321
54	1.344723351
55	1.322400363
56	1.300832971
57	1.280767776
58	1.259809571
59	1.239501768
60	1.220246402
61	1.202503092
62	1.186744932
63	1.171465536
64	1.15562881
65	1.14157295
66	1.126292742
67	1.113346001
68	1.101363676
69	1.089551523
70	1.078535286
71	1.067989891
72	1.059130117
73	1.048887529
74	1.039318122
75	1.029640415
76	1.021068475
77	1.012293161
78	1.005862098
79	0.9993084419
80	0.9928742841
81	0.9865921782
82	0.981589885
83	0.9758484062
84	0.9704507908
85	0.9638742435
86	0.9582402408
87	0.952583903
88	0.9473060801
89	0.9432215885
90	0.9388521128
91	0.9347426681
92	0.9295899008
93	0.9257586187
94	0.9220502978
95	0.9167048134
96	0.9128851677
97	0.9079736236
98	0.9039245003
99	0.9004064477
100	0.8963292936
101	0.8934343186
102	0.889348947
103	0.8866682165
104	0.8843801053
105	0.8815658254
106	0.8788799325
107	0.8762674682
108	0.8742156396
109	0.8715252797
110	0.8683806527
111	0.8660280685
112	0.863924532
113	0.8614067921
114	0.8595560083
115	0.8572162671
116	0.855326552
117	0.8529037697
118	0.8505384202
119	0.8485697383
120	0.8460857568
121	0.8436476983
122	0.8416756466
123	0.8399276861
124	0.8380699802
125	0.8360554303
126	0.833740141
127	0.8317324801
128	0.8303445589
129	0.8286827013
130	0.8265499353
131	0.8246698385
132	0.8219496211
133	0.8207493254
134	0.8194391678
135	0.8185896376
136	0.8167582372
137	0.814624338
138	0.8126927915
139	0.8098062391
140	0.8080013726
141	0.8061603333
142	0.8047815771
143	0.8031594429
144	0.8014075123
145	0.7993003031
146	0.7969672342
147	0.7952246788
148	0.7945536062
149	0.7934066432
150	0.7918616471
151	0.7906259815
152	0.7891428807
153	0.7872803072
154	0.7852072199
155	0.7836112253
156	0.7820298113
157	0.7803884429
158	0.779458374
159	0.7778338614
160	0.7767148989
161	0.7754454869
162	0.7733521692
163	0.7716857093
164	0.7701739558
165	0.7689491265
166	0.7675980771
167	0.7667262425
168	0.7659798919
169	0.7652602182
170	0.7632092893
171	0.7616143945
172	0.7595719797
173	0.7583759178
174	0.756403195
175	0.7555493846
176	0.7546218052
177	0.7535557008
178	0.7522093828
179	0.7508589427
180	0.749335214
181	0.7482115271
182	0.7470740357
183	0.7460431731
184	0.7450294005
185	0.7445039347
186	0.7429621369
187	0.7410575028
188	0.7398767132
189	0.7381490255
190	0.737185014
191	0.7361196728
192	0.734883573
193	0.7338298952
194	0.7322221045
195	0.7311659857
196	0.7302725428
197	0.7296057543
198	0.7286612315
199	0.7274272589
200	0.7264731289
201	0.7244857097
202	0.7234968368
203	0.722663858
204	0.7214202009
205	0.7202900268
206	0.7182366431
207	0.7166549799
208	0.7152472348
209	0.7142778583
210	0.7134863776
211	0.711916386
212	0.7105381635
213	0.7092008701
214	0.7083547561
215	0.7066048884
216	0.7046183873
217	0.7036424593
218	0.7017953436
219	0.701592411
220	0.7008606565
221	0.6997843877
222	0.6986563672
223	0.6974681187
224	0.6958801974
225	0.6943907851
226	0.6932074715
227	0.6917797678
228	0.6914759982
229	0.6902479328
230	0.6889896645
231	0.6872317768
232	0.6858480704
233	0.6848983669
234	0.6840309352
235	0.683151659
236	0.6826041637
237	0.6807263656
238	0.6797977651
239	0.6787002057
240	0.6776356337
241	0.6760761821
242	0.6749360254
243	0.6736730218
244	0.6725376594
245	0.6715246864
246	0.6705257384
247	0.6689989032
248	0.6683479637
249	0.6680696978
250	0.6670888599
251	0.6655539161
252	0.6645503344
253	0.662760373
254	0.6619858193
255	0.6612471463
256	0.6603851029
257	0.6592331891
258	0.6582874586
259	0.657324716
260	0.6563183332
261	0.6556923399
262	0.6548461785
263	0.6536570185
264	0.6530080226
265	0.6513663932
266	0.6505776017
267	0.6496812971
268	0.6488057904
269	0.6478936107
270	0.6467702027
271	0.6455467995
272	0.6445464899
273	0.6439860414
274	0.6430372789
275	0.6421352368
276	0.6411499144
277	0.6404688603
278	0.6398232722
279	0.6391929683
280	0.6381579138
281	0.6371552452
282	0.6364149942
283	0.6356892751
284	0.6351561662
285	0.6347263105
286	0.6337665983
287	0.6328702526
288	0.6321375839
289	0.6305213843
290	0.6296924949
291	0.6284486036
292	0.6278448622
293	0.6272307025
294	0.6265962373
295	0.6259737897
296	0.6249024212
297	0.6237358937
298	0.6221820407
299	0.6214556236
300	0.6204986861
301	0.6191195938
302	0.6184680301
303	0.617290271
304	0.6170605099
305	0.6160330942
306	0.6150103073
307	0.6142097444
308	0.6138019023
309	0.6127130888
310	0.6124698358
311	0.6117710029
312	0.610762401
313	0.6097994731
314	0.6090446236
315	0.6080712327
316	0.6068968265
317	0.6059638662
318	0.6050344313
319	0.6042011135
320	0.6029790342
321	0.6021412572
322	0.6013440037
323	0.6002566974
324	0.5990097053
325	0.5979226083
326	0.5967056173
327	0.5957460496
328	0.5948493405
329	0.5941439007
330	0.5931405678
331	0.5926356821
332	0.5924050538
333	0.5917878587
334	0.5911297177
335	0.5903038252
336	0.5896002279
337	0.5889824904
338	0.5883751888
339	0.587779688
340	0.5873933759
341	0.5865851167
342	0.5860261167
343	0.5853095658
344	0.5849746305
345	0.584090362
346	0.58340207
347	0.5822634577
348	0.5817699913
349	0.5808470306
350	0.580446215
351	0.579975808
352	0.579457261
353	0.5790220794
354	0.5785470523
355	0.5777865463
356	0.5772398194
357	0.5763560124
358	0.5758391707
359	0.5752705484
360	0.5747550882
361	0.5740319511
362	0.5730336197
363	0.5724813298
364	0.5716684624
365	0.5708306684
366	0.5701106332
367	0.5694037305
368	0.5689240693
369	0.5684525357
370	0.5676826045
371	0.567283608
372	0.5664564629
373	0.5660383016
374	0.565725687
375	0.5655273652
376	0.5647700063
377	0.5641575405
378	0.5636256465
379	0.5631711489
380	0.5625762951
381	0.562372397
382	0.5613428046
383	0.5603401827
